GoldSummary,SystemSummary
"Existing law provides for the creation of the Sacramento Regional Transit District, with specified powers and duties relative to the provision of public transit services. Existing law describes the authorized boundaries of the district, as specified, and provides that the boundaries of the district, at any point in time, shall consist of the area of any city or county within the authorized boundaries where the governing board of the city or county has declared a need for the district to operate. Existing law authorizes the district to operate in any city or county where the need for the district to operate has been declared, except that the district has no power to levy an ad valorem property tax unless a city or county adopts a specified resolution. Existing law provides for a city or county to annex to the district through a written request to the district and approval by the Sacramento Area Council of Governments.
This bill would revise and recast these provisions. The bill would provide that the boundaries of the district, at any point in time, shall consist of specified areas, including a city or county that has acted to annex to the district, and a city incorporated on or after January 1, 2016, if the newly incorporated city consists of territory that was included in the district prior to incorporation. The bill would require an annexation to be subject to an agreement between the annexing city or county and the district board specifying the terms and conditions of annexation, and would delete the requirement for approval of annexation by the Sacramento Area Council of Governments. The bill would provide procedures for detachment of territory within the district by a specified supermajority vote of the district board and a majority vote of the governing body of the territory proposed to be detached.","This bill amends the Public Utilities Code to revise the boundaries of the East Bay Municipal Utility District. The boundaries of the district shall include: the cities of Sacramento and Rancho Cordova within the urban service area; the unincorporated territory of the County of Sacramento that is within the urban service area, not otherwise divided from the rest of the unincorporated territory that is within such area; a city or county listed in the process specified in this bill that has annexed to the district pursuant to such process; and a city incorporated on or after January 1, 2016, which city consists entirely of territory that was included in the district prior to such date. The boundaries of the district shall not be affected by the incorporation of any territory: (1) within the boundaries of the district, or (2) by reason of other things. Where territory is incorporated as a new city on or after January 1, 2016, and is partly within and partly outside the district, the entire district shall be deemed incorporated into and annexed to the district. Where territory that is within the boundaries of the district is annexed to any city that is not a member entity, that territory shall remain part of the district unless: (1) no transit service is operated by the district within the annexed territory or within one-half mile of any outside boundary of the annexed territory and no transit"
"Existing law required the State Board of Education to adopt statewide academic content standards in the core curriculum areas of reading, writing, and mathematics, and requires the Academic Content Standards Commission to develop academic content standards in language arts and mathematics. Existing law also authorizes the Superintendent of Public Instruction to recommend, and for the state board to approve, modifications to the common core academic content standards in mathematics, as specified.
This bill would require the Superintendent, by January 1, 2017, to recommend to the state board a schedule for the regular update of academic content standards in all subjects for which standards have been adopted by the state board in accordance with specified procedures, including the establishment of academic content standards advisory committees for those purposes and the recommendation of proposed updates by those committees to the state board.","This bill requires the Superintendent of Education to recommend to the California State Board of Education a schedule for the regular update of academic content standards in all subjects for which standards have been adopted by the state board. The schedule shall be aligned to the current eight-year cycle of curriculum framework updates and instructional materials adoptions. The state board shall determine whether those standards require an update based upon specified considerations, including the amount of time since the standards were adopted or last updated, whether additional research conducted since the standards were adopted or last updated justifies updates, and the potential impact on existing curriculum, instructional materials, and assessment systems. If the state board determines that an update to the academic content standards in a given subject is warranted, it shall convene an academic content standards advisory committee to recommend updates to the standards."
"Existing law, the Mental Health Services Act, an initiative measure enacted by the voters as Proposition 63 at the November 2, 2004, statewide general election, establishes the Mental Health Services Oversight and Accountability Commission, and requires the commission to consist of 16 voting members, including, among others, two persons with a severe mental illness and a mental health professional, all appointed by the Governor. The act may be amended by the Legislature by a
2/3
vote of both houses and only so long as the amendment is consistent with and furthers the intent of the act. The Legislature may clarify procedures and terms of the act by majority vote.
The bill would require the Governor to appoint an additional member to the commission who has experience providing supportive housing to persons with a severe mental illness. The bill would state the findings and declarations of the Legislature that this change is consistent with and furthers the intent of the act.",This bill amends the Welfare and Institutions Code to establish the Mental Health Services Oversight Commission to oversee the state mental health system and other specified programs under the Mental Health Services Act.
"(1) Existing law, the San Francisco Bay Restoration Authority Act, until January 1, 2029, establishes the San Francisco Bay Restoration Authority to raise and allocate resources for the restoration, enhancement, protection, and enjoyment of wetlands and wildlife habitat in the San Francisco Bay and along its shoreline. The act establishes a governing board of the authority composed of specified members, including a member who is a resident of the San Francisco Bay area with expertise in the implementation of the San Francisco Bay Conservancy Program, who serves as the chair. The act grants to the board all powers that are necessary to carry out the act, including, among other things, the power to levy specified benefit assessments, special taxes, and property-related fees, and to issue revenue bonds and general obligation bonds. However, the act limits the total amount of outstanding indebtedness incurred pursuant to those provisions authorizing the issuance of general obligation bonds to 10% of the authority’s total revenues in the preceding fiscal year. Existing law generally requires a district to reimburse the county elections official for the actual costs incurred in conducting an election for the district. However, the act authorizes, until January 1, 2017, the authority to reimburse only the incremental costs, as defined, that are incurred by the county elections official related to submitting a special tax measure to the voters.
This bill would delete the requirement that one member of the board, who serves as the chair, be a resident of the San Francisco Bay area with expertise in the implementation of the San Francisco Bay Conservancy Program and would instead require that member to be an elected official of a bayside city or county, or an elected member of a special district, with expertise in the implementation of the San Francisco Bay Conservancy Program. The bill would also delete the limit on the authority’s total amount of outstanding general obligation bonded indebtedness and would, instead, prohibit the authority from having a total amount of outstanding bonded indebtedness that exceeds $1,500,000,000. The bill would specify that the authority may incur general obligation bonded indebtedness for the acquisition or improvement of real property or for the funding or refunding of any outstanding bonded indebtness incurred by the authority. The bill would extend to January 1, 2019, the operation of the provision authorizing the authority to reimburse county elections officials for only the incremental costs of submitting a special tax measure to the voters, expanded to apply to other specified measures that would generate revenues for the authority. The bill would postpone to January 1, 2049, the repeal date for the act, and would make related conforming changes. By imposing additional duties on local government officials with regard to implementation of the act, the bill would impose a state-mandated local program.
The act specifies that the special taxes are to be levied, and submitted to the voters, consistent with specified provisions of the California Constitution relating to voter approval for local tax levies and property-related fees, charges, and assessments.
This bill would instead specify that measures that will generate revenues are to be submitted to the voters, consistent with those requirements of the California Constitution and the requirements of the California Constitution relating to general obligation bond indebtedness and ad valorem taxes.
(2) The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.","Exempts a benefit assessment, special tax, or property-related fee from such jurisdiction until December 31, 2048.<n>Authorizes the authority to: (1) levy a benefit assessment; (2) issue revenue bonds for such purposes; (3) apply for and receive grants from federal and state agencies; (4) solicit and accept gifts, fees, grants, and allocations from public and private entities; and (5) issue general obligations for the acquisition or improvement of real property or for funding or refunding of any outstanding indebtedness."
"Existing law, with respect to supplemental property tax assessments, specifies various limitation periods for assessments on the supplemental tax roll. Existing law provides for the application of property tax exemptions to those supplemental assessments provided, among other things, that an assessee file an exemption application within a specified time. Existing property tax law allows taxes, penalties, and interest imposed for late filings of property tax exemption applications for the supplemental roll that exceed $250 in total to be canceled or refunded up to 85% or 90%, as applicable, in the case of the exemption for a college, cemetery, church, religious, exhibition, or veterans’ organization.
This bill would expand this reduction to be applied to exemptions for public schools, as provided.
Existing property tax law provides, with respect to property as to which the college, cemetery, church, religious, exhibition, veterans’ organization, free public libraries, free museums, public schools, community colleges, state colleges, state universities, tribal housing, or welfare exemption was available but for which a timely application for exemption was not filed, that 90% of any tax or penalty or interest on that property shall be canceled or refunded if an appropriate application for exemption is filed on or before the lien date in the calendar year next succeeding the calendar year in which the exemption was not claimed by a timely application.
Existing property tax law requires, if an appropriate application for exemption is filed within 90 days from the first day of the month following the month in which the property was acquired or by February 15 of the following calendar year, whichever occurs first, any tax or penalty or interest imposed upon property owned by any organization qualified for the college, cemetery, church, religious, exhibition, veterans’ organization, tribal housing, or welfare exemption that is acquired by that organization during a given calendar year, after the lien date but before the first day of the fiscal year commencing within that calendar year, if the property is of a kind that would have been qualified for the college, cemetery, church, religious, exhibition, veterans’ organization, tribal housing, or welfare exemption if it had been owned by the organization on the lien date, to be canceled or refunded.
This bill would add public schools to the list of entities eligible for the cancellation or refund of any tax or penalty or interest imposed on property acquired in a given calendar year after the lien date but before the first day of the fiscal year commencing within that calendar year. The bill also would make conforming changes.
By increasing the duties of local officials relative to the administration of taxes, this bill would impose a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that, if the Commission on State Mandates determines that the bill contains costs mandated by the state, reimbursement for those costs shall be made pursuant to these statutory provisions.","Amends the Revenue and Taxation Code to repeal the income tax on supplemental assessments for certain exempt properties, including: (1) property for which the college, cemetery, church, religious, exhibition, veterans organization, public school, free public libraries, free museums, or welfare exemption was available; (2) property for which a veterans exemption was available but for which an application for exemption was not filed; (3) property for which a disabled veterans exemption was available but for which an application for exemption was not filed; and (4) property for which a change in ownership or new construction exemption is not in effect."
"Existing law requires the Superintendent of Public Instruction to implement a plan that establishes reasonable child care standards and assigned reimbursement rates, as provided. Existing law requires the standard reimbursement rate to be increased annually by a cost-of-living adjustment, as provided.
This bill would make nonsubstantive changes to these provisions.
This bill would provide that the standard reimbursement rate is not intended to fund mandated costs imposed upon child development programs due to actions of law relating to minimum wage requirements, health insurance requirements, new or increased fees, new or expanded program requirements, or other cost increases due to legislative action. The bill would also require the standard reimbursement rate to be raised as needed to provide a living wage, reasonable health insurance, and retirement benefits for employees, to support the recruitment and retention of skilled and trained teachers, to support the financial stability of programs and educational quality, and to achieve gender pay equity. The bill would define cost-of-living adjustment to be, among other things, at least equal to the amount of the inflation adjustments given to K–12 education programs, as provided.","Requires the Superintendent of the Department of Education to implement a plan that establishes reasonable standards and assigned reimbursement rates for state-funded child development programs, which vary with the length of the program year and the hours of service. Requires parent fees to be used to pay reasonable and necessary costs for providing additional services. Requires the reimbursement system to be submitted to the Joint Legislative Budget Committee. Specifies the standard reimbursement rate for a 250-day year, and beginning with FY2015, which shall be increased by the cost-of-living adjustment granted by the Legislature pursuant to this Act. Requires the standard reimbursement rate to be raised as needed to provide a living wage, reasonable health insurance costs, new or expanded program requirements, or other cost increases due to legislative action. Directs that: (1) the plan provide for expansion of child development programs to reduce costs on an incremental basis to achieve the standard reimbursement rate, and (2) it provide for adjusting reimbursement on a case-by-case basis to maintain service levels for agencies currently at a rate less than 400 children."
"Existing law requires the State Department of Public Health, in cooperation with the State Department of Education, to establish a Public School Health Center Support Program to perform specified functions relating to the establishment, retention, or expansion of school health centers in California. Existing law, for purposes of those provisions, defines a “school health center” to mean a center or program located at or near a local educational agency that provides age-appropriate health care services at the program site or through referrals, and may conduct routine physical health, mental health, and oral health assessments. Existing law requires the State Department of Public Health, to the extent funds are appropriated to the department, to establish a grant program to provide technical assistance, and funding for the expansion, renovation, and retrofitting of existing school health centers, and the development of new school health centers, in accordance with specified procedures. Existing law requires the department to develop a request for proposal (RFP) process for collecting information on applicants, and determining which proposals shall receive grant funding, giving preference for grant funding to schools in areas designated as federally medically underserved areas or in areas with medically underserved populations, or schools with a high percentage of low-income and uninsured children and youth.
This bill would require the department to also give preference to schools with a high percentage of children and youth who receive free or low-cost health coverage through
Medi-Cal or Covered California.
Medi-Cal.","This bill amends the Health and Safety Code to direct the Department of Health and Human Services to establish a grant program within the Public School Health Center Support Program to provide technical assistance, and funding for the expansion, renovation, and retrofitting of existing school health centers, and the development of new school health centers. The bill sets forth requirements for a school health center, including that it: (1) strive to provide a comprehensive set of services including medical, oral health, mental health, health education, and related services in response to community needs; (2) provide primary and other health care services, provided or supervised by a licensed professional, which may include physical examinations, immunizations, and other preventive medical services; (3) work in partnership with the school nurse to provide individual and family health education; school or district-wide health promotion; first aid and administration of medications; facilitation of student enrollment in health insurance programs; screening of students to identify the need for physical, mental health, and oral health services; referral and linkage to services not offered onsite; public health and disease surveillance; and emergency response procedures. A school health center may receive grant funding if the school or school district does not employ a school nurse. However, it is not the intent of the Legislature that a school health center serve as a substitute"
"Existing law requires a person or entity that sells any quantity of specified substances to record the date of sale, product description, purchaser’s identification, and other specified information. Existing law requires the seller to retain this information for a period of 5 years and to present it upon demand by any law enforcement officer or authorized representative of the Attorney General. Existing law requires a person or entity that purchases any quantity of these specified substances to record the date of purchase, product description, and other specified information for a period of 3 years and to present it upon demand by any law enforcement officer or authorized representative of the Attorney General. A violation of these provisions is a crime.
This bill would add butane to the list of specified substances for which these requirements apply. The bill would also prohibit any person from purchasing more than 400 milliliters of butane in a calendar month. Because the bill would create a new crime, it would impose a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.","Amends the Health and Safety Code to require manufacturers, wholesalers, retailers, or other persons or entities who sell chlorofluorocarbons to a person in California or any other State to: (1) prepare a bill of sale that identifies the date of sale, cost of sale, method of payment, the specific items and quantities purchased and the proper purchaser identification information; (2) retain such information for five years; and (3) present such information upon demand by any law enforcement officer or authorized representative of the Attorney General. Specifies information to be included in such bill, including the purchaser's residential or mailing address, a description of how the substance is to be used, the Environmental Protection Agency certification number or resale tax identification number assigned to the individual or business entity for which the individual is purchasing any chlorofluorocarbon product, and the purchaser's signature. Specifies penalties for violations of this Act, including imprisonment and a fine."
"Existing law, the Alcoholic Beverage Control Act, authorizes a licensed winegrower or a licensed beer manufacturer to apply to the Department of Alcoholic Beverage Control for a certified farmers’ market sales permit, which allows, among others, the licensee to sell wine or beer at a certified farmers’ market, under specified conditions, and requires the licensee to pay a fee of $50 for the permit. Existing law requires a certified farmers’ market sales permit issued to a licensed winegrower, but not a licensed beer manufacturer, to allow an instructional tasting event on the subject of wine at a certified farmers’ market, under specified conditions. Existing law provides that moneys collected as fees pursuant to the act are to be deposited in the Alcohol Beverage Control Fund. These moneys are generally allocated to the Department of Alcoholic Beverage Control upon appropriation by the Legislature.
This bill would also require a certified farmers’ market sales permit issued to a licensed beer manufacturer to allow an instructional tasting event on the subject of beer at a certified farmers’ market, under specified conditions.
Existing law authorizes specified nonprofit corporations that have not been issued a license authorizing the sale of wine to receive and possess wine donated to that nonprofit corporation, if the nonprofit corporation has submitted a license application to sell wine with the Department of Alcoholic Beverage Control.
This bill would additionally authorize those nonprofit corporations to receive and possess beer under the same circumstances.
Existing law authorizes the Department of Alcoholic Beverage Control to issue a special temporary on-sale or off-sale wine license to a nonprofit corporation that is exempt from payment of income taxes, subject to specified requirements and limitations.
This bill would extend this authorization to issue a special temporary on-sale or off-sale license to sell beer.","(This measure has not been amended since it was reported to the House on March 16, 2010. The summary of that version is repeated here.) Amends the Business and Professions Code to authorize a licensed beer manufacturer to apply to the Department of Commerce for a certified farmers market beer sales permit. Requires a certified farmers market beer sales permit to authorize the licensee, a member of the licensee's family who is 21 years of age or older, or an employee of the licensee to sell packaged beer that has been manufactured by the manufacturer at a certified farmers market, including any community event area adjacent to the market or located within the same county or adjacent county of the manufacturer's physical location. Requires a certified farmers market beer sales permit also to authorize an instructional event on the subject of beer at such market, including any permitted community area adjacent to and in conjunction with such market, located within county or adjacent county of the manufacturer's physical location. Prohibits: (1) more than eight ounces of beer per day from being sold by the licensee during the operational hours of any one certified farmers market or community event; (2) any consumer from leaving the instructional area with an open container of beer during such hours; or (3) a beer manufacturer from holding more than one permit for any single specified certified"
"Existing law, the Reproductive Privacy Act, provides that every individual possesses a fundamental right of privacy with respect to reproductive decisions. Existing law provides that the state shall not deny or interfere with a woman’s right to choose or obtain an abortion prior to viability of the fetus, as defined, or when necessary to protect her life or health. Existing law specifies the circumstances under which the performance of an abortion is deemed unauthorized.
This bill would enact the Reproductive FACT (Freedom, Accountability, Comprehensive Care, and Transparency) Act, which would require a licensed covered facility, as defined, to disseminate a notice to all clients, as specified, stating, among other things, that California has public programs that provide immediate free or low-cost access to comprehensive family planning services, prenatal care, and abortion, for eligible women. The bill would also require an unlicensed covered facility, as defined, to disseminate a notice to all clients, as specified, stating, among other things, that the facility is not licensed as a medical facility by the State of California.
The bill would authorize the Attorney General, city attorney, or county counsel to bring an action to impose a specified civil penalty against covered facilities that fail to comply with these requirements.","Amends the Health and Safety Code to require a licensed primary care clinic that is enrolled as a Medi-Cal provider and a provider in the Family Planning, Access, Care, and Treatment Program to disseminate to clients on site the following notice in English and in the primary threshold languages for Medi-Cal beneficiaries: (1) the facility offers obstetric ultrasounds, sonograms, or prenatal care to pregnant women; (2) the facility offers pregnancy testing or diagnosis; (3) the facility offers pregnancy testing or pregnancy diagnosis; (4) the facility advertises or solicits patrons with offers to provide prenatal sonography, pregnancy tests, or pregnancy options counseling; and (5) the facility offers abortion services. Defines an &quot;unlicensed covered facility&quot; as one that is not licensed by the state of California and does not have a licensed medical provider on staff or under contract who provides or directly supervises the provision of all of the services, whose primary purpose is providing pregnancy-related services, and that satisfies two or more of the following: (1) the facility offers obstetric ultrasounds, sonograms, or prenatal care to pregnant women; (2) the facility offers pregnancy testing or pregnancy diagnosis; (3) the facility advertises or solicits patrons with offers to provide prenatal sonography, pregnancy tests, or pregnancy options"
"(1) The Alcoholic Beverage Control Act regulates the application for, the issuance of, the suspension of, and the conditions imposed upon, various alcoholic beverage licenses pursuant to which the licensees may exercise specified privileges in the state.
This bill would authorize licensees to sponsor or otherwise participate in an event conducted by, and for the benefit of, a nonprofit organization subject to specified conditions, including that a nonretail or retail licensee may choose to participate in any level of sponsorship.
(2) The Alcoholic Beverage Control Act authorizes a licensed winegrower to apply to the Department of Alcoholic Beverage Control for a wine sales event permit that allows the sale of bottled wine produced by that winegrower at specified events approved by the department. The act prohibits a wine sales event permit from being used more than 2 times a month at a particular location, and requires the winegrower to pay a fee of $50 for the permit. The act provides that moneys collected as fees pursuant to the act are to be deposited in the Alcohol Beverage Control Fund. These moneys are generally allocated to the Department of Alcoholic Beverage Control upon appropriation by the Legislature.
This bill would authorize a licensed beer manufacturer to apply to the department for a brewery event permit that allows the sale of beer produced by that beer manufacturer for consumption on property contiguous and adjacent to the licensed premises of the manufacturer, as provided. The bill would authorize a fee for a brewery event permit of $110 for the 2016 calendar year, and thereafter as provided, and an event authorization fee of not more than $25 for each approved event. The bill would allow up to 4 authorized events each calendar year.
(3) Existing law, known as tied-house restrictions, generally prohibits a manufacturer, winegrower, manufacturer’s agent, rectifier, California winegrower’s agent, distiller, bottler, importer, and wholesaler, and any officer, director, or agent of any of those persons, from having specified relationships with an on-sale alcoholic beverage licensee, with limited exceptions. Existing law specifies that the Alcoholic Beverage Control Act does not prohibit holders of retail on-sale or off-sale licenses from purchasing advertising in any publication by specified alcoholic beverage licensees.
This bill would specify that the act does not prohibit purchasing advertising in a publication published by a nonretail licensee, as defined, and would include Internet Web sites and social media feeds as types of publications for these purposes.
(4) The Alcoholic Beverage Control Act authorizes specified licensees to purchase alcoholic beverages for resale under specified circumstances. The act provides that a person convicted of a violation of its provisions is guilty of a misdemeanor unless another penalty or punishment is specifically provided.
This bill would prohibit a retail licensee from purchasing beer from any beer manufacturer for the purpose of selling or offering to sell that beer under specified circumstances, including where the beer container contains the statement or is marked “Not Packaged for Resale”.
By expanding the scope of a crime, this bill would impose a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.
(5) Existing law requires the Department of Alcoholic Beverage Control, in any hearing on an accusation charging a licensee with a violation of specified provisions relating to minors, to produce the alleged minor for examination at the hearing unless he or she is unavailable as a witness because he or she is dead or unable to attend the hearing because of a then-existing physical or mental illness or infirmity, or unless the licensee has waived, in writing, the appearance of the minor. Existing law provides that when a minor is absent because of a then-existing physical or mental illness or infirmity, a reasonable continuance shall be granted to allow for the appearance of the minor if the administrative law judge finds that it is reasonably likely that the minor can be produced within a reasonable amount of time.
This bill would state that the above provisions are not intended to preclude the continuance of a hearing because of the unavailability of a minor for any other reason pursuant to a specified provision.","This bill amends the Business and Professions Code, with respect to the sale of alcoholic beverages, to set forth conditions under which a licensee may sponsor or otherwise participate in an event conducted by, and for the benefit of, a nonprofit organization in which retail and nonretail licensees are involved as sponsors or participants. Any payment of money or other consideration for sponsorship or participation in the event shall be made only to the nonprofit organization conducting the event. A nonretail licensee shall not: pay money or provide any other thing of value to a permanent retail licensee that is also a sponsor of, or participant in, the event; donate alcoholic beverages to a nonprofit only as otherwise authorized; give, sell, or furnish any alcoholic beverages to the temporary licensee; choose to participate in any level of sponsorship, including at the name or principal sponsor level; or advertise or communicate sponsorship or participation in the event. This advertising or communication may include, but is not limited to, initiating, sharing, reposting, or otherwise forwarding a social media post by a permanent retail licensee or a nonretail licensee if the advertisement or communication does not contain the retail price of any alcoholic beverage produced or otherwise promotes a retail licensee beyond its sponsorship or participation in the event."
"The Davis-Stirling Common Interest Development Act governs the management and operation of common interest developments. Existing law provides that, unless otherwise provided in the common interest development declaration, the association is responsible for repairing, replacing, or maintaining the common area, other than exclusive use common area, and the owner of each separate interest is responsible for maintaining that separate interest and any exclusive use common area appurtenant to that interest. Existing law makes void and unenforceable any provision of the governing documents or architectural or landscaping guidelines or policies that prohibits use of low water-using plants, or prohibits or restricts compliance with water-efficient landscape ordinances or regulations on the use of water, as specified.
Existing law also prohibits an association, except an association that uses recycled water for landscape irrigation, from imposing a fine or assessment on separate interest owners for reducing or eliminating watering of vegetation or lawns during any period for which the Governor has declared a state of emergency or the local government has declared a local emergency due to drought.
This bill would revise that exception to instead authorize the imposition of a fine or assessment against the owner of a separate interest that receives recycled water from a retail water supplier, as defined, and fails to use that recycled water for landscaping irrigation.
This bill would incorporate additional changes to Section 4735 of the Civil Code proposed by AB 349 that would become operative if this bill and AB 349 are enacted and this bill is enacted last.
This bill would declare that it is to take effect immediately as an urgency statute.","Declares void and unenforceable any provision of the governing documents or architectural or landscaping guidelines or policies that: (1) prohibits, or includes conditions that have the effect of prohibiting, the use of low water-using plants as a group or as a replacement of existing turf; (2) prohibits, or includes conditions that have the effect of prohibiting, the use of artificial turf or any other synthetic surface that grass; or (3) restricts compliance with a water-efficient landscape ordinance or any regulation or restriction on the use of water adopted pursuant to the Water Code. Exempts an association from applying landscaping rules established in the governing documents to the extent they fully conform with such rules. Prohibits an association from imposing a fine or assessment against an owner of a separate interest for reducing or eliminating the watering of vegetation or lawns during any period for which either of the following have occurred: (1) the Governor has declared a state of emergency due to drought; or (2) a local government has declared a local emergency due to drought."
"Existing law, the Pharmacy Law, establishes the California State Board of Pharmacy and sets forth its powers and duties, including, but not limited to, the licensing and regulation of pharmacists. Existing law makes a knowing violation of these provisions a crime.
Existing law requires every prescription, as defined, to include a legible, clear notice of the condition or purpose for which the drug is prescribed, if requested by the patient. Existing law prohibits a pharmacist from dispensing any prescription unless it is in a specified container that is correctly labeled to include, among other information, the condition or purpose for which the drug was prescribed, if the condition or purpose is indicated on the prescription.
This bill would instead require that every prescription include a legible, clear notice of the condition or purpose for which the drug is prescribed, and would authorize the prescriber or patient to request that this information not be included in the prescription container label. This bill would, similarly, require that every prescription container be correctly labeled to include that information, unless omission of that information has been requested by the prescriber or patient.
By establishing these additional requirements, the knowing violation of which would be a crime, this bill would impose a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.
Existing law, the Pharmacy Law, requires an oral or an electronic data transmission prescription to be reduced to writing by the pharmacist and to be filled by, or under the direction of, the pharmacist. Under existing law, the pharmacist does not need to reduce to writing the address, telephone number, license classification, federal registry number of the prescriber or the address of the patient or patients if the information is readily retrievable in the pharmacy.
This bill would make nonsubstantive changes to those provisions.","(This measure has not been amended since it was reported to the Senate on March 19, 2003. The summary of that version is repeated here.) Amends the Business and Professions Code of 1970 to define ""prescription"" to mean an oral, written, or electronic transmission order that is both of the following: given individually for the person or persons for whom ordered a prescription the name and quantity of the drug or device prescribed and the directions for use; the name and quantity of the pharmacy drug or device prescribed and the directions for use; either rubber stamped or legible, the name and quantity of the pharmacy prescriber, his or her license number, and his or her federal registry if a controlled substance is prescribed; a clear notice of the condition or purpose for which the drug is being prescribed, if requested by the prescriber or patient; and either electronic or hand-written, the name and quantity of the drug or device prescribed and the directions for use, except for any Schedule II controlled substance that contains abbreviations in a written order of a doctor to prescribe a dangerous drug, except for any Schedule II controlled substance that contains the name and signature of the patient from which the prescriber receives the order. Defines ""electronic"" to mean any electronic transmission from a licensed nurse practitioner to a"
"Existing law, the Lanterman Developmental Disabilities Services Act, requires the State Department of Developmental Services to contract with regional centers to provide services and supports to individuals with developmental disabilities and their families. Existing law defines developmental disability for these purposes, to include, among other things, autism.
Existing law provides for the licensure and regulation of health care service plans by the Department of Managed Health Care. A violation of those provisions is a crime. Existing law provides for the licensure and regulation of health insurers by the Department of Insurance.
Existing law requires every health care service plan contract and health insurance policy to provide coverage for behavioral health treatment for pervasive developmental disorder or autism until January 1, 2017, and defines “behavioral health treatment” to mean specified services provided by, among others, a qualified autism service professional supervised and employed by a qualified autism service provider. For purposes of this provision, existing law defines a “qualified autism service professional” to mean a person who, among other requirements, is a behavioral service provider approved as a vendor by a California regional center to provide services as an associate behavior analyst, behavior analyst, behavior management assistant, behavior management consultant, or behavior management program pursuant to specified regulations adopted under the Lanterman Developmental Disabilities Services Act.
This bill would delete the sunset date, thereby extending the operation of these provisions indefinitely. By extending the operation of these provisions, the violation of which by a health care service plan would be a crime, the bill would impose a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.","Amends the Health and Safety Code to require every health care service plan contract that provides hospital, medical, or surgical coverage to also provide coverage for behavioral health treatment for pervasive developmental disorder or autism no later than July 1, 2012.<n><n>Requires every health care service plan to maintain an adequate network that includes qualified autism service providers who supervise and employ qualified autism service professionals or paraprofessionals who provide and administer behavioral health treatment."
"Existing law authorizes a peace officer, humane officer, or animal control officer to take all steps reasonably necessary to remove an animal from a motor vehicle because the animal’s safety appears to be in immediate danger of specified harm. Existing law requires those persons who remove an animal from a vehicle to take the animal to an animal shelter or other place of safekeeping or, if deemed necessary, to a veterinary hospital for treatment, and to leave a notice in the vehicle that notifies the owner of, among other things, the location where the animal may be claimed. Existing law authorizes the owner to claim the animal only after paying all charges that have accrued for the maintenance, care, medical treatment, or impoundment of the animal.
This bill would expand the authorization and requirements applicable to a peace officer, humane officer, or animal control officer described above to include a firefighter or other emergency responder. The bill would additionally provide that a person may be required to pay for charges that have accrued for the maintenance, care, medical treatment, or impoundment of the animal removed from the vehicle. The bill would exempt a person from criminal liability for actions taken reasonably and in good faith to remove an animal from a vehicle under the circumstances described above if the person satisfies specified conditions, including immediately turning the animal over to a representative from law enforcement, animal control, or other emergency responder who responds to the scene. The bill would exempt a person from civil liability for property damage or trespass to a motor vehicle if the property damage or trespass occurred while the person was rescuing an animal pursuant to these provisions.","(Sec. 2) States that this Act does not prevent a person from taking reasonable steps that are necessary to remove an animal from a motor vehicle if the animal suffers immediate danger from heat, cold, lack of food or water, or other circumstances that could reasonably be expected to cause suffering, disability, or death to the animal. States that a person is not criminally liable for actions taken in good faith if the person: (1) determines the vehicle is locked or there is otherwise no reasonable manner for the animal to be removed; (2) has a good faith belief that forcible entry into the vehicle is necessary because the animal is in imminent danger of suffering harm if it is not immediately removed; (3) has contacted a local law enforcement agency, the fire department, animal control, or the &quot;911&quot; emergency service prior to forcibly entering the vehicle; (4) remains with the animal in a safe location, out of the elements but reasonably close to the vehicle, until an officer or other emergency responder arrives; (5) used no more force to enter the vehicle and remove the animal; and (6) immediately turns the animal over to a representative from law enforcement, animal control, or other emergency responder who responds to the scene. Subjects a violator to specified penalties, including imprisonment and a fine."
